Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Plainview Police Dept,TX,12,22194,72,1,9,,12,50
Plano Police Dept,TX,12,259841,484,4,52,,152,276
Port Arthur Police Dept,TX,12,53818,419,6,26,,169,218
Port Lavaca Police Dept,TX,12,12248,119,0,13,,4,102
Port Neches Police Dept,TX,12,13040,34,1,3,,3,27
Portland Police Dept,TX,12,15099,18,0,2,,4,12
Prosper,TX,12,9423,5,0,0,,1,4
Raymondville Police Dept,TX,12,11284,191,0,8,,9,174
Red Oak Police Dept,TX,12,10769,14,0,1,,5,8
Richardson Police Dept,TX,12,99223,194,0,14,,90,90
Richmond Police Dept,TX,12,11679,54,0,8,,11,35
Rio Grande Police Dept,TX,12,13834,39,0,1,,7,31
Robinson Police Dept,TX,12,10509,8,0,0,,2,6
Robstown Police Dept,TX,12,11487,66,0,2,,14,50
Rockport Police Dept,TX,12,8766,14,0,2,,1,11
Rockwall Police Dept,TX,12,37490,26,0,8,,3,15
Rosenberg Police Dept,TX,12,30618,91,5,16,,33,37
Round Rock Police Dept,TX,12,99887,116,0,26,,35,55
Rowlett Police Dept,TX,12,56199,76,2,10,,16,48
Royse City Police Dept,TX,12,9349,30,0,9,,2,19
Sachse City Police Dept,TX,12,20329,12,0,5,,1,6
Saginaw Police Dept,TX,12,19806,45,0,5,,5,35
San Angelo Police Dept,TX,12,93200,279,1,49,,50,179
San Antonio Police Dept,TX,12,1327407,8434,79,467,,2360,5528
San Benito Police Dept,TX,12,24250,78,0,11,,18,49
San Juan Police Dept,TX,12,33856,223,3,31,,31,158
San Marcos Police Dept,TX,12,44894,152,1,13,,34,104
Santa Fe City Police Dept,TX,12,12222,21,0,4,,3,14
Schertz Police Dept,TX,12,31465,71,0,17,,9,45
Seabrook Police Dept,TX,12,11952,20,0,4,,5,11
Seagoville Police Dept,TX,12,14835,13,0,0,,5,8
Seguin Police Dept,TX,12,25175,110,2,17,,37,54
Sherman Police Dept,TX,12,38521,180,5,4,,34,137
Snyder Police Dept,TX,12,11202,132,0,11,,4,117
Socorro Police Dept,TX,12,32013,91,0,6,,16,69
South Houston Police Dept,TX,12,16983,113,0,5,,46,62
Southlake Police Dept,TX,12,26575,16,0,1,,3,12
Stafford Police Dept,TX,12,17693,82,2,6,,33,41
Stephenville Police Dept,TX,12,17123,44,0,8,,4,32
Sugar Land Police Dept,TX,12,78817,142,0,7,,60,75
Sulphur Springs Police Dept,TX,12,15449,43,0,1,,7,35
Sweetwater Police Dept,TX,12,10906,141,0,18,,3,120
Taylor Police Dept,TX,12,15191,17,0,2,,7,8
Temple Police Dept,TX,12,66102,211,2,23,,71,115
Terrell Police Dept,TX,12,15816,121,0,16,,25,80
Texarkana Police Dept,TX,12,36411,527,3,26,,98,400
Texas City Police Dept,TX,12,45099,195,8,0,,83,104
The Colony City Police Dept,TX,12,36328,53,2,11,,9,31
Tomball Police Dept,TX,12,10753,32,0,7,,8,17
Trophy Club Police Dept,TX,12,8024,5,0,0,,0,5
Tyler Police Dept,TX,12,96900,656,6,44,,99,507
Universal City Police Dept,TX,12,18530,70,0,3,,18,49
University Park Police Dept,TX,12,23068,12,0,0,,8,4
Uvalde Police Dept,TX,12,15751,39,1,0,,7,31
Vernon Police Dept,TX,12,11002,61,0,6,,5,50
Victoria Police Dept,TX,12,62592,388,7,37,,75,269
Vidor Police Dept,TX,12,10579,42,0,0,,6,36
Waco Police Dept,TX,12,124805,838,5,51,,195,587
Watauga Police Dept,TX,12,23497,60,0,1,,7,52
Waxahachie Police Dept,TX,12,29621,82,0,2,,13,67
Weatherford Police Dept,TX,12,25250,62,0,7,,13,42
Webster Police Dept,TX,12,10400,41,1,11,,16,13
Weslaco Police Dept,TX,12,35670,196,1,20,,40,135
West University Place Police Dept,TX,12,14787,4,0,0,,4,0
